name,group,uhgs_id,parent_uhgs_id
La Rochelle,admiralty,ADM1,PRV1
Nantes,admiralty,ADM2,PRV2
Honfleur,admiralty,ADM3,PRV3
Sables-d’Olonne,admiralty,ADM4,PRV4
Bayonne,admiralty,ADM5,PRV5
Marennes,admiralty,ADM6,PRV6
Rouen,admiralty,ADM7,PRV3
Collioure,admiralty,ADM8,PRV7
Saint-Malo,admiralty,ADM9,PRV2
Saint-Tropez,admiralty,ADM10,PRV8
Bordeaux,admiralty,ADM11,PRV5
Dunkerque,admiralty,ADM12,PRV9
Toulon,admiralty,ADM13,PRV8
Antibes,admiralty,ADM14,PRV8
Quillebeuf,admiralty,ADM15,PRV3
Le Havre,admiralty,ADM16,PRV3
Cherbourg,admiralty,ADM17,PRV3
Port-Bail,admiralty,ADM18,PRV3
Boulogne,admiralty,ADM19,PRV10
Fécamp,admiralty,ADM20,PRV3
Caudebec et Quilleboeuf,admiralty,ADM21,PRV3
Granville,admiralty,ADM22,PRV3
Saint-Valéry-en-Caux,admiralty,ADM23,PRV3
Abbeville,admiralty,ADM24,PRV10
Saint-Valéry-sur-Somme,admiralty,ADM25,PRV10
Lorient,admiralty,ADM26,PRV2
Calais,admiralty,ADM27,PRV10
Caen,admiralty,ADM28,PRV3
La Hougue,admiralty,ADM29,PRV3
Brest,admiralty,ADM30,PRV2
Barfleur,admiralty,ADM31,PRV3
Cap-Français,admiralty,ADM32,PRV11
Dieppe,admiralty,ADM33,PRV3
Isigny,admiralty,ADM34,PRV3
Morlaix,admiralty,ADM35,PRV2
Arles,admiralty,ADM36,PRV8
Eu et Tréport,admiralty,ADM37,PRV3
Marseille,admiralty,ADM38,PRV8
Saint-Pierre-et-Miquelon,admiralty,ADM39,PRV12
Sète,admiralty,ADM40,PRV13
Vannes,admiralty,ADM41,PRV2
Bastia,admiralty,ADM42,PRV14
Ajaccio,admiralty,ADM43,PRV14
Coutances,admiralty,ADM44,PRV3
Saint-Brieuc,admiralty,ADM45,PRV2
Quimper,admiralty,ADM46,PRV2
Narbonne,admiralty,ADM47,PRV13
Agde,admiralty,ADM48,PRV13
Cayenne,admiralty,ADM49,PRV15
La Ciotat,admiralty,ADM50,PRV8
Fréjus,admiralty,ADM51,PRV8
Les Cayes,admiralty,ADM52,PRV11
Port-au-Prince,admiralty,ADM53,PRV11
Saint-Marc,admiralty,ADM54,PRV11
Saint-Pierre,admiralty,ADM55,PRV16
Bayeux,admiralty,ADM56,PRV3
Pointe-à-Pitre,admiralty,ADM57,PRV17
Jérémie,admiralty,ADM58,PRV11
Petit-Goave,admiralty,ADM59,PRV11
Saint-Louis,admiralty,ADM60,PRV11
Martigues,admiralty,ADM61,PRV8
Jacmel,admiralty,ADM62,PRV11
Aunis,province,PRV1,Z
Bretagne,province,PRV2,Z
Normandie,province,PRV3,Z
Poitou,province,PRV4,Z
Guyenne,province,PRV5,Z
Saintonge,province,PRV6,Z
Roussillon,province,PRV7,Z
Provence,province,PRV8,Z
Flandre,province,PRV9,Z
Picardie,province,PRV10,Z
Saint-Domingue,province,PRV11,Z
Canada,province,PRV12,Z
Languedoc,province,PRV13,Z
Corse,province,PRV14,Z
Guyane,province,PRV15,Z
Martinique,province,PRV16,Z
Guadeloupe,province,PRV17,Z
Saint-Martin-de-Ré,port,A0127055,ADM1
La Flotte-en-Ré,port,A0199508,ADM1
Nantes,port,A0124817,ADM2
Touques,port,A0158963,ADM3
Saint-Gilles-sur-Vie,port,A0195938,ADM4
Bayonne,port,A0187995,ADM5
Ribérou,port,A1964767,ADM6
Marennes,port,A0136930,ADM6
Rouen,port,A0122218,ADM7
Collioure,port,A0181755,ADM8
Le Pouliguen,port,A0162516,ADM2
Rochefort,port,A0196496,ADM1
Tonnay-Charente,port,A0171758,ADM6
Saint-Malo,port,A0170819,ADM9
Saint-Tropez,port,A0147257,ADM10
Blaye,port,A0207141,ADM11
Dunkerque,port,A0204180,ADM12
Cavalaire ,port,A0181293,ADM13
Bandol,port,A0145176,ADM13
Golfe-Juan,port,A0130651,ADM14
Quillebeuf,port,A0173748,ADM15
Le Havre,port,A0187101,ADM16
Cherbourg,port,A0205085,ADM17
Port-Bail,port,A0209786,ADM18
Boulogne-sur-Mer,port,A0152606,ADM19
Fécamp,port,A0192135,ADM20
Les Sables-d'Olonne,port,A0137148,ADM4
Pont-Audemer,port,A0185236,ADM21
Caudebec,port,A0180920,ADM21
Honfleur,port,A0187836,ADM3
Harfleur,port,A0204500,ADM16
Granville,port,A0167057,ADM22
Bordeaux,port,A0180923,ADM11
La Rochelle,port,A0198999,ADM1
Saint-Valéry-en-Caux,port,A0135548,ADM23
Abbeville,port,A0169591,ADM24
Saint-Valéry-sur-Somme,port,A0196771,ADM25
Lorient,port,A0140266,ADM26
Calais,port,A0165080,ADM27
Courseulles,port,A0180068,ADM28
La Hougue,port,A0177816,ADM29
Brest,port,A0200718,ADM30
Barfleur,port,A0181496,ADM31
Cap-Français,port,B2048070,ADM32
île de Bouin,port,A0165077,ADM4
Dieppe,port,A0130761,ADM33
Grandcamp,port,A0201236,ADM34
La Perrotine,port,A1964982,ADM6
Morlaix,port,A0185385,ADM35
Bourgneuf,port,A0138654,ADM2
Caen ,port,A0132409,ADM28
Isigny,port,A0130741,ADM34
Marans,port,A1964694,ADM1
Toulon,port,A0200330,ADM13
Saint-Denis d'Oléron,port,A0141325,ADM6
Beaucaire,port,A0139108,ADM36
La Roche-Bernard,port,A0149919,ADM2
Le Tréport,port,A0212320,ADM37
Saint-Laurent-de-la-Salanque,port,A0209302,ADM8
Ars-en-Ré,port,A0133403,ADM1
La Teste,port,A0189289,ADM11
Le Château-d'Oléron,port,A0138533,ADM6
Marseille,port,A0210797,ADM38
Beauvoir-sur-Mer,port,A0181608,ADM4
Noirmoutier,port,A0136403,ADM4
Saint-Pierre-et-Miquelon,port,B1965595,ADM39
Landerneau,port,A0141652,ADM30
Royan,port,A0172590,ADM6
Libourne,port,A0215306,ADM11
Sète,port,A0170986,ADM40
Mesquer,port,A0148900,ADM2
Le Croisic,port,A0213139,ADM2
Soubise,port,A0148208,ADM1
Billiers,port,A0168677,ADM41
Le Conquet,port,A0187969,ADM30
Dives,port,A0180812,ADM28
Roscoff,port,A0122918,ADM30
Pornic,port,A0148531,ADM2
Méan,port,A0194731,ADM2
La Tranche-sur-Mer,port,A0165056,ADM4
île d'Yeu,port,A0195014,ADM4
Gravelines,port,A0189462,ADM12
île d'Oléron,port,A0128573,ADM6
Bastia,port,A0193167,ADM42
Ajaccio,port,A0218974,ADM43
Courtils,port,A0204935,ADM22
îles Chausey,port,A0206322,ADM44
Saint-Cast,port,A0134417,ADM45
Île-aux-Moines,port,A0185539,ADM41
Saint-Jean-de-Luz,port,A0122594,ADM5
Douarnenez,port,A0142523,ADM46
Hyères,port,A1964985,ADM13
île de Ré,port,A0151330,ADM1
Étaples ,port,A0192436,ADM19
Paimpol,port,A0214583,ADM45
Chaillevette,port,A0212883,ADM6
Belle-Île-en-Mer,port,A0131657,ADM41
Quimperlé,port,A0186080,ADM46
Seudre,port,A0178037,ADM6
Moricq,port,A1963997,ADM4
Saint-Michel-en-l'Herm,port,A0122971,ADM4
Penpoul,port,A0137359,ADM30
Plouharnel,port,A0148246,ADM41
Mortagne,port,A0124809,ADM6
Vannes,port,A0182952,ADM41
Le Passage,port,A0138463,ADM46
Socoa,port,A0127400,ADM5
Diélette,port,A0130763,ADM17
Le Crotoy,port,A0212088,ADM24
Champagné-les-Marais,port,A0169240,ADM4
Talmont,port,A0207992,ADM4
Saint-Nazaire / Sanary-sur-Mer,port,A0134267,ADM13
Portsall,port,A0209662,ADM30
